episode,winner,did_rl_agent_win,final_score_rl,final_score_opponent,final_score_diff,episode_reward_total,episode_length_turns,mean_buy_phase_coins_rl,max_buy_phase_coins_rl,num_buy_phases_rl,count_buy_phase_coins_ge_3_rl,count_buy_phase_coins_ge_5_rl,count_buy_phase_coins_ge_6_rl,count_buy_phase_coins_ge_8_rl,afford_copper_count_rl,afford_silver_count_rl,afford_gold_count_rl,afford_estate_count_rl,afford_duchy_count_rl,afford_province_count_rl,afford_curse_count_rl,buy_copper_count_rl,buy_silver_count_rl,buy_gold_count_rl,buy_estate_count_rl,buy_duchy_count_rl,buy_province_count_rl,buy_curse_count_rl,buy_none_count_rl,buy_gold_when_affordable_count_rl,buy_province_when_affordable_count_rl,buy_duchy_when_province_affordable_count_rl,buy_silver_when_gold_affordable_count_rl,buy_silver_when_province_affordable_count_rl,buy_estate_when_duchy_affordable_count_rl,first_turn_reach_5_coins_rl,first_turn_reach_6_coins_rl,first_turn_reach_8_coins_rl,first_turn_buy_gold_rl,first_turn_buy_province_rl,first_turn_buy_duchy_rl,final_count_copper_rl,final_count_silver_rl,final_count_gold_rl,final_count_estate_rl,final_count_duchy_rl,final_count_province_rl,final_count_curse_rl,final_deck_size_rl,mean_buy_phase_coins_opp,final_count_copper_opp,final_count_silver_opp,final_count_gold_opp,final_count_estate_opp,final_count_duchy_opp,final_count_province_opp,final_deck_size_opp
1,Opponent,0,3,51,-48,-115.0526,26,3.92,8,26,23,6,3,1,26,23,3,26,6,1,26,2,6,0,6,0,0,6,6,0,0,0,1,1,0,4,6,10,,,,9,6,0,9,0,0,6,30,,7,9,8,3,0,8,35
2,Opponent,0,12,51,-39,-96.1049,27,4.11,6,27,22,10,4,0,27,22,4,27,10,0,27,7,5,0,4,2,0,1,8,0,0,0,1,0,1,3,10,,,,8,14,5,0,7,2,0,1,29,,7,11,8,3,0,8,37
3,Opponent,0,5,51,-46,-104.3739,26,3.42,6,26,21,5,1,0,26,21,1,25,5,0,26,2,3,0,5,0,0,3,13,0,0,0,0,0,2,2,25,,,,,9,3,0,8,0,0,3,23,,7,8,9,3,0,8,35
4,Opponent,0,-3,51,-54,-128.9811,27,4.11,6,27,26,9,4,0,27,26,4,27,9,0,27,2,9,1,2,0,0,8,5,1,0,0,2,0,0,3,13,,24,,,9,9,1,5,0,0,8,32,,7,8,10,3,0,8,36
5,Opponent,0,6,51,-45,-109.9914,24,3.25,5,24,18,5,0,0,24,18,0,22,5,0,24,7,3,0,1,3,0,7,3,0,0,0,0,0,0,2,,,,,6,14,3,0,4,3,0,7,31,,7,8,8,3,0,8,34
6,Opponent,0,10,51,-41,-102.9711,26,4.58,9,26,22,11,7,3,26,22,7,25,11,3,26,6,8,1,3,2,0,2,4,1,0,0,2,1,0,7,7,17,7,,11,13,8,1,6,2,0,2,32,,7,10,7,3,0,8,35
7,Opponent,0,1,51,-50,-117.1382,26,3.12,5,26,20,2,0,0,26,20,0,25,2,0,26,4,4,0,2,1,0,7,8,0,0,0,0,0,0,15,,,,,20,11,4,0,5,1,0,7,28,,7,11,7,3,0,8,36
8,Opponent,0,1,51,-50,-113.3039,24,3.08,6,24,15,3,1,0,24,15,1,21,3,0,24,7,1,0,2,0,0,4,10,0,0,0,0,0,0,1,24,,,,,14,1,0,5,0,0,4,24,,7,6,9,3,0,8,33
9,Opponent,0,12,51,-39,-96.1049,27,3.3,5,27,18,6,0,0,27,18,0,22,6,0,27,5,3,0,8,1,0,2,8,0,0,0,0,0,1,1,,,,,24,12,3,0,11,1,0,2,29,,7,8,11,3,0,8,37
10,Opponent,0,3,51,-48,-107.3956,23,3.83,6,23,21,7,2,0,23,21,2,23,7,0,23,1,5,0,1,1,0,4,11,0,0,0,0,0,0,1,17,,,,23,8,5,0,4,1,0,4,22,,7,8,7,3,0,8,33
